newspaper,league,date,url
The Salt Lake herald. [volume],players league,1891-01-27,https://chroniclingamerica.loc.gov/lccn/sn85058130/1891-01-27/ed-1/seq-7.pdf
Pittsburg dispatch. [volume],players league,1890-08-08,https://chroniclingamerica.loc.gov/lccn/sn84024546/1890-08-08/ed-1/seq-6.pdf
Los Angeles daily herald. [microfilm reel],players league,1890-03-04,https://chroniclingamerica.loc.gov/lccn/sn85042460/1890-03-04/ed-1/seq-5.pdf
East Oregonian : E.O.,players league,1915-10-07,https://chroniclingamerica.loc.gov/lccn/sn88086023/1915-10-07/ed-1/seq-6.pdf
Waterbury evening Democrat. [volume],players league,1890-08-20,https://chroniclingamerica.loc.gov/lccn/sn94053256/1890-08-20/ed-1/seq-1.pdf
The Daily bulletin. [volume],players league,1891-03-02,https://chroniclingamerica.loc.gov/lccn/sn82016412/1891-03-02/ed-1/seq-1.pdf
Richmond times-dispatch. [volume],players league,1914-12-24,https://chroniclingamerica.loc.gov/lccn/sn83045389/1914-12-24/ed-1/seq-4.pdf
Fisherman & farmer. [volume],players league,1890-11-07,https://chroniclingamerica.loc.gov/lccn/sn91068084/1890-11-07/ed-1/seq-3.pdf
Daily Yellowstone journal. [volume],players league,1890-07-13,https://chroniclingamerica.loc.gov/lccn/sn86075021/1890-07-13/ed-1/seq-4.pdf
Pittsburg dispatch. [volume],players league,1890-01-08,https://chroniclingamerica.loc.gov/lccn/sn84024546/1890-01-08/ed-1/seq-6.pdf
Rock Island Argus.,players league,1914-12-11,https://chroniclingamerica.loc.gov/lccn/sn92053934/1914-12-11/ed-1/seq-14.pdf
Fort Worth daily gazette.,players league,1890-04-05,https://chroniclingamerica.loc.gov/lccn/sn86064205/1890-04-05/ed-1/seq-1.pdf
The Detroit times. [volume],players league,1911-09-15,https://chroniclingamerica.loc.gov/lccn/sn83016689/1911-09-15/ed-1/seq-7.pdf
The Milwaukee leader. [volume],players league,1914-12-17,https://chroniclingamerica.loc.gov/lccn/sn83045293/1914-12-17/ed-1/seq-9.pdf
The Washington times. [volume],players league,1935-04-13,https://chroniclingamerica.loc.gov/lccn/sn84026749/1935-04-13/ed-1/seq-13.pdf
Grand Forks herald. [volume],players league,1918-05-24,https://chroniclingamerica.loc.gov/lccn/sn85042414/1918-05-24/ed-1/seq-8.pdf
New Britain herald. [microfilm reel],players league,1922-08-15,https://chroniclingamerica.loc.gov/lccn/sn82014519/1922-08-15/ed-1/seq-9.pdf
New Britain herald. [microfilm reel],players league,1916-02-07,https://chroniclingamerica.loc.gov/lccn/sn82014519/1916-02-07/ed-1/seq-8.pdf
The Birmingham age-herald. [volume],players league,1919-05-01,https://chroniclingamerica.loc.gov/lccn/sn85038485/1919-05-01/ed-1/seq-15.pdf
The Wichita daily eagle. [volume],players league,1890-11-06,https://chroniclingamerica.loc.gov/lccn/sn82014635/1890-11-06/ed-1/seq-7.pdf
Newark evening star and Newark advertiser. [volume],players league,1914-10-27,https://chroniclingamerica.loc.gov/lccn/sn91064011/1914-10-27/ed-1/seq-14.pdf
The Cheyenne daily leader. [volume],players league,1890-08-19,https://chroniclingamerica.loc.gov/lccn/sn86072173/1890-08-19/ed-1/seq-4.pdf
Pittsburg dispatch. [volume],players league,1890-03-09,https://chroniclingamerica.loc.gov/lccn/sn84024546/1890-03-09/ed-1/seq-6.pdf
Pittsburg dispatch. [volume],players league,1890-09-28,https://chroniclingamerica.loc.gov/lccn/sn84024546/1890-09-28/ed-1/seq-14.pdf
The Wichita daily eagle. [volume],players league,1890-11-08,https://chroniclingamerica.loc.gov/lccn/sn82014635/1890-11-08/ed-1/seq-7.pdf
Pittsburg dispatch. [volume],players league,1890-09-21,https://chroniclingamerica.loc.gov/lccn/sn84024546/1890-09-21/ed-1/seq-14.pdf
The Washington times. [volume],players league,1914-05-11,https://chroniclingamerica.loc.gov/lccn/sn84026749/1914-05-11/ed-1/seq-11.pdf
The Bismarck tribune. [volume],players league,1936-02-18,https://chroniclingamerica.loc.gov/lccn/sn85042243/1936-02-18/ed-1/seq-6.pdf
Lancaster daily intelligencer. [volume],players league,1890-07-26,https://chroniclingamerica.loc.gov/lccn/sn83032300/1890-07-26/ed-1/seq-3.pdf
